reach_id,time,p_lat,p_lon,wse,wse_u,width,width_u,reach_q,reach_q_b,dark_frac,ice_clim_f,obs_frac_n,ice_dyn_f,slope2,slope2_r_u,xovr_cal_q,p_width,p_n_ch_max,p_n_ch_mod,p_length,slope,slope_r_u,date
44560500021,752569256.578,18.95146455,96.4490876,40.9155,0.09592,116.423977,0.763772,1,12,0.04153876803,0,1.0,-999,0.0002459643,1.23634e-06,0,129.0,2,1,10899.920926,0.00024451974,2.066834e-05,2023-11-06
73252000111,752612713.344,32.5525976,-81.2833678,5.3333,0.1219,83.406423,0.406101,1,4,0.46513003105,0,0.65454545455,-999,0.00013588448,6.74671e-06,0,123.0,1,1,11098.334203,0.00013480709,3.788437e-05,2023-11-06
74294900551,752571274.663,41.84733547,-107.0442414,1955.6333,0.09696,65.931235,1.016644,1,12,0.04343065503,0,0.97674418605,-999,0.00105646065,2.85947e-06,0,54.0,2,1,8540.712372,0.00105294475,2.241927e-05,2023-11-06
74294900711,752571292.708,40.90650086,-106.3372052,2389.3439,0.10753,16.12448,0.263468,1,4,0.0,1,0.88679245283,-999,0.00138482398,1.290066e-05,0,36.0,1,1,10589.004415,0.0012536976,4.890906e-05,2023-11-06
71343000071,752564851.946,55.40100234,-88.2743633,43.3216,0.09675,582.659196,0.95457,1,12,0.46999768818,1,0.96078431373,-999,0.00059969978,1.78291e-06,0,467.5,7,1,10126.792538,0.00057112942,2.374042e-05,2023-11-06
74294700281,753477188.803,41.98902551,-104.0684674,1227.7658,0.09425,66.024061,0.889082,1,12,0.01492545409,0,1.0,-999,0.00100418407,1.11849e-06,0,90.0,3,1,10442.819399,0.00101311991,1.942723e-05,2023-11-16
78328500051,753483582.439,54.02161754,-124.0022242,634.9458,0.09349,142.179363,0.817745,1,12,0.12785998014,1,0.97674418605,-999,0.00036548139,9.7625e-07,0,80.0,2,1,17131.371694,0.00039406271,1.192915e-05,2023-11-16
73240300061,753470876.021,34.20279806,-80.621545,34.8223,0.09524,74.065303,0.43984,1,12,0.04937055972,0,0.86666666667,-999,0.00010797244,1.16452e-06,0,92.0,2,1,18042.905316,0.00010919885,1.291869e-05,2023-11-16
71260100031,753429244.785,50.91674353,-110.2403575,589.5463,0.09428,139.078393,0.35364,1,12,0.34790716332,1,1.0,-999,0.00030024744,9.6035e-07,0,203.0,4,1,19980.96226,0.00027859721,1.2704e-05,2023-11-16
74249900141,753429476.083,38.24610131,-104.3637422,1370.0868,0.09675,50.294913,0.543354,1,12,0.01565589217,0,1.0,-999,0.00138353595,1.96821e-06,0,63.0,2,1,10118.463569,0.00132067477,2.601777e-05,2023-11-16
74294900331,753429395.843,42.58029573,-106.6551644,1612.7476,0.09724,94.244971,0.857576,1,12,0.00745394709,0,0.94339622642,-999,0.00077425056,1.61378e-06,0,92.0,2,1,10588.078814,0.00083372891,5.34014e-05,2023-11-16
74294900711,753429425.136,40.90650086,-106.3372052,2389.3644,0.10254,27.663706,0.364276,1,4,0.0,1,0.98113207547,-999,0.00140366723,5.24004e-06,0,36.0,1,1,10589.004415,0.0012519883,3.417788e-05,2023-11-16
82298000301,753483603.406,55.06698958,-122.8596189,693.2026,0.10072,118.415434,0.49215,1,4,0.29281115879,1,1.0,-999,0.00101248036,5.28931e-06,0,84.0,2,1,10410.852578,0.00104429102,3.291834e-05,2023-11-16
24478000151,753484704.933,56.4928538,13.4808425,88.3777,0.10409,120.903543,1.426565,1,12,0.01580000673,0,1.0,-999,0.00029113104,6.5718e-06,0,127.0,3,1,3422.470798,0.00027980758,7.173618e-05,2023-11-16
