COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD,stationid,node_data_num,width_u_r
43027816,1,43210800030561,34.7207854,112.9304354,768361714.331,109.12464,0.10382,160.672216,4.866446,41657600.0,heishiguan,41,0.03028803685635356
43027816,1,43210800030561,34.72075636,112.9306438,752137371.296,109.46999,0.10064,124.805466,4.403435,41657600.0,heishiguan,41,0.035282388994084604
43027816,7,43210800030561,34.7207318,112.9304241,772825251.738,109.57972,0.11961,92.025788,3.201276,41657600.0,heishiguan,41,0.034786727389935525
43027816,7,43210800030561,34.72127512,112.9301018,762953601.807,109.64255,0.19038,91.669343,2.022722,41657600.0,heishiguan,41,0.022065413951968652
43027816,7,43210800030561,34.72081757,112.9304606,766559011.09,109.70143,0.1082,163.028747,4.812708,41657600.0,heishiguan,41,0.02952060963824987
43027816,1,43210800030561,34.72088551,112.9305135,772864166.217,109.79528,0.09208,1540.236027,48.634732,41657600.0,heishiguan,41,0.031576155308305875
43027816,1,43210800030561,34.72100198,112.9304813,767456052.76,109.87577,0.13,822.523182,30.427657,41657600.0,heishiguan,41,0.03699306921175627
43027816,10,43210800030561,34.7208188,112.9303566,767417138.517,109.3024,0.12726,120.79393,3.87327,41657600.0,heishiguan,41,0.032065104595901464
43027816,1,43210800030561,34.72076901,112.9304903,752995499.271,109.26248,0.1215,153.959886,4.322939,41657600.0,heishiguan,41,0.028078346329770597
43027816,4,43210800030561,34.72082547,112.9305321,753034413.751,109.49015,0.10794,1914.705473,51.259435,41657600.0,heishiguan,41,0.0267714464301842
43027816,4,43210800030561,34.72017921,112.9300809,771967124.907,109.11374,0.33591,43.094496,1.90332,41657600.0,heishiguan,41,0.04416619700112051
43027816,1,43210800030561,34.72095493,112.9308386,762047940.247,109.6258,0.09831,679.933657,25.857444,41657600.0,heishiguan,41,0.03802936320888731
43027816,10,43210800030561,34.72068732,112.9302084,763811727.623,109.53166,0.13088,137.955327,3.935047,41657600.0,heishiguan,41,0.028524067069914595
43027816,4,43210800030561,34.72079657,112.9305734,773769827.552,108.90637,0.11048,204.667369,5.124282,41657600.0,heishiguan,41,0.02503712255176349
43027816,7,43210800030561,34.72065944,112.9304206,747587387.022,108.93386,0.1782,81.541374,3.026038,41657600.0,heishiguan,41,0.03711046124878886
43027816,4,43210800030561,34.72066742,112.9301589,765653346.431,109.53893,0.14044,159.345058,11.023931,41657600.0,heishiguan,41,0.06918276059744508
43027816,10,43210800030561,34.72080294,112.9304814,754798204.835,108.45128,0.11229,150.294433,4.04192,41657600.0,heishiguan,41,0.026893344745510302
43027816,1,43210800030561,34.72081025,112.9305033,753940076.489,109.23922,0.10869,162.922144,4.730342,41657600.0,heishiguan,41,0.02903437116565321
43027970,8,43210800190021,34.55422276,112.4720098,770164410.143,149.40219,0.09621,211.733994,11.302387,41654600.0,longmenzhen,39,0.0533801246860719
43027970,5,43210800190021,34.55425596,112.4718911,768361705.164,148.91816,0.09583,198.327312,10.94619,41654600.0,longmenzhen,39,0.05519254957683287
43027970,11,43210800190021,34.55432447,112.4716662,752176277.527,148.37087,0.12675,151.866929,3.803636,41654600.0,longmenzhen,39,0.025045847868563932
43027970,5,43210800190021,34.55436213,112.4717352,744020890.242,148.37529,0.10379,151.705844,4.881427,41654600.0,longmenzhen,39,0.03217692127931472
43027970,5,43210800190021,34.55433374,112.4717596,758442528.857,148.25376,0.10591,145.304498,4.21781,41654600.0,longmenzhen,39,0.029027387713765063
43027970,11,43210800190021,34.55441533,112.4715794,762953592.637,149.29523,0.10231,225.757351,7.966349,41654600.0,longmenzhen,39,0.0352872186208457
43027970,5,43210800190021,34.55424861,112.4715773,748531954.568,148.72431,0.0927,200.098939,9.039756,41654600.0,longmenzhen,39,0.0451764314452462
43027970,2,43210800190021,34.55429056,112.4716433,746768164.517,148.2872,0.14022,130.943796,3.868448,41654600.0,longmenzhen,39,0.02954281239868745
43027970,2,43210800190021,34.55429528,112.4717613,770203325.58,149.15566,0.10826,164.291531,3.893443,41654600.0,longmenzhen,39,0.023698379193995096
43027970,5,43210800190021,34.55432144,112.4716966,772864166.426,148.62221,0.10401,146.400439,4.35121,41654600.0,longmenzhen,39,0.029721290658151645
43027970,5,43210800190021,34.55432623,112.4717335,767456052.969,149.02638,0.10331,154.077497,4.614986,41654600.0,longmenzhen,39,0.029952368709624096
43027970,8,43210800190021,34.55435837,112.4716591,753034413.96,148.38518,0.10123,144.502079,4.149767,41654600.0,longmenzhen,39,0.028717697549527986
43027970,5,43210800190021,34.55434214,112.4717205,771061463.862,148.95228,0.10216,154.361717,4.208288,41654600.0,longmenzhen,39,0.02726251095017296
43027970,5,43210800190021,34.55432861,112.4717271,762047940.455,148.7765,0.10417,159.751332,4.592193,41654600.0,longmenzhen,39,0.02874588238175066
43027970,8,43210800190021,34.55417863,112.4717272,773769818.384,147.5909,0.14928,145.701386,6.025596,41654600.0,longmenzhen,39,0.041355790534484
