node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,stationid,COMID,date
42460001470291,42460001471,744533199.96,41.18410674,122.7177081,3.26188,0.09538,112.418611,5.687843,0,0,0,0.0,112.5,1,1,0,-36595.66406,0.03159,224.30920723,SWOT_L2_HR_RiverSP_Node_001_422_AS_20230805T064231_20230805T064708_PGD0_01.zip,tangmazhai,42061735,2023-08-05
42460001470301,42460001471,744533199.936,41.18577029,122.7188349,3.37715,0.09886,164.45455,7.312442,0,0,0,0.0,87.0,1,1,0,-36730.25781,0.0409,175.75596857,SWOT_L2_HR_RiverSP_Node_001_422_AS_20230805T064231_20230805T064708_PGD0_01.zip,tangmazhai,42061735,2023-08-05
42249800030261,42249800031,744667529.306,49.24810689,125.0786881,222.82189,0.09769,163.856355,6.359943,0,0,0,0.02594607709,108.0,1,1,0,30629.5332,0.03799,197.87720681,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,liujiatun,42025877,2023-08-06
42249800030281,42249800031,744667529.365,49.25124882,125.0815119,223.10974,0.11232,145.576773,5.823189,0,0,0,0.03019237293,146.5,1,1,0,30694.26562,0.06721,191.57757288,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,liujiatun,42025877,2023-08-06
42249900150171,42249900151,744667543.406,50.04797535,125.3189982,270.97532,0.09418,158.384187,9.295494,0,0,0,0.0,84.0,1,1,0,21152.96875,0.02775,178.37263886,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,shihuiyao,42020496,2023-08-06
42249900150181,42249900151,744667543.428,50.04902964,125.32104,271.1021,0.10066,117.381374,6.693317,0,0,0,0.0,144.0,1,1,0,21279.59961,0.04509,205.69947398,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,shihuiyao,42020496,2023-08-06
42242100060571,42242100061,752342775.799,45.98963872,129.5888527,113.18934,0.09315,264.800775,8.650662,0,0,0,0.0,213.0,1,1,0,-28685.60742,0.02402,178.42839861,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,changjiangtun,42043227,2023-11-03
42242100060581,42242100061,752342775.828,45.98822189,129.590504,113.16229,0.09342,187.447117,7.298154,0,0,0,0.0,213.0,1,1,0,-28760.45312,0.02503,220.29582668,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,changjiangtun,42043227,2023-11-03
42242100060591,42242100061,752342775.858,45.98676354,129.5918594,113.18926,0.09376,222.984249,8.094338,0,0,0,0.0433555524,202.0,1,1,0,-28821.77734,0.0263,185.29699159,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,changjiangtun,42043227,2023-11-03
42243200030021,42243200031,752342776.093,45.80742848,128.7222891,109.83464,0.09609,150.795578,5.85548,0,0,0,0.0,127.0,1,1,0,41540.14844,0.03367,200.1879859,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,lianhua,42045708,2023-11-03
42243200030031,42243200031,752342776.119,45.80572621,128.7213272,109.79396,0.09598,109.723578,4.719319,0,0,0,0.06768335396,241.5,1,1,0,41671.58594,0.03334,208.83850155,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,lianhua,42045708,2023-11-03
42249900150181,42249900151,752429133.387,50.04892902,125.3213188,271.18371,0.09979,147.285978,8.717162,0,0,1,0.0,144.0,1,1,0,-22080.61719,0.0431,205.69947398,SWOT_L2_HR_RiverSP_Node_006_060_AS_20231104T160354_20231104T161108_PGD0_01.zip,shihuiyao,42020496,2023-11-04
