stationid,w50,w_low,w_high,num
Brazil_64506000,209.66249655266967,189.48732479409693,228.84820582273025,232
Brazil_64507000,180.9331715520187,164.54084575474494,198.09782328661007,244
Brazil_64517000,349.314986969438,320.293533704972,357.3101113351305,270
Brazil_64617000,124.853453857076,102.25051186381917,133.93015476085827,266
Brazil_64625000,44.73309693252623,31.347460003918044,65.3582244879391,154
Brazil_64645000,97.7263001244537,81.72938317412661,113.38467917884955,195
Brazil_64655000,134.28250405827268,122.6347591558313,144.78306468718336,222
Brazil_64660500,168.14197156832867,144.15245644892218,187.4802813172771,370
Brazil_64675002,250.21068800843,207.17588217491905,273.5366271481472,495
Brazil_64685000,163.348061747286,152.14618581965726,175.37773118539346,275
Brazil_64689000,132.08713936382767,113.91096599595409,142.4944059558641,266
Brazil_64689005,156.009514527317,150.33515813896355,166.75239643667362,263
Brazil_64693000,159.070490970463,139.0855267653121,176.36911418210877,327
Brazil_64767000,83.16658521083008,63.785840005493085,99.7806292310814,283
Brazil_64776100,160.17324741913367,143.79883875462122,170.2323879908941,251
Brazil_64795000,143.9441144460145,131.0947308615509,154.5232544343622,258
Brazil_64799500,175.293475845606,150.29387934275212,186.3111343910966,266
Brazil_65220001,192.1673042335553,181.0225083807706,206.1714522917866,79
Brazil_65310001,277.4947230927555,212.367370956588,304.017379975689,158
Brazil_65825000,92.2226955787923,45.01761277135387,141.65071097703557,153
Brazil_65895002,174.542054026109,153.15761128703983,191.98982914851408,275
Brazil_65927000,57.403491553123104,37.47779208010055,77.22332027699701,394
Brazil_65955000,66.87687745596794,41.324566664842905,80.9873853992833,248
Brazil_65960000,177.6957201360225,146.757603100918,197.90689165644613,242
Brazil_65985000,394.714078627732,357.42562358479194,414.8306172206361,244
Brazil_65986000,682.8909965271359,661.3746445668072,738.2256022400823,254
Brazil_66055000,70.7658195600401,53.890419595330826,86.95142215392917,293
Brazil_66070004,164.49729691384573,143.43414891560795,183.00335273833514,203
Brazil_66090000,202.83608725372352,171.2878427577376,232.21123808623878,215
Brazil_66120000,104.465499343289,67.68881971112252,173.27065679747707,210
Brazil_66250001,110.29239893628552,87.12649690877075,135.23420277822652,208
Brazil_66255000,120.45839466245734,101.23766197194342,139.34465989399757,436
Brazil_66260001,94.55272920798191,71.23590512504435,131.57690711331725,204
Brazil_66260002,121.643500839012,107.3724383198986,142.11251860730084,227
Brazil_66280000,106.1260270062292,82.74189182963514,131.31827369815014,217
Brazil_66360000,90.73902292990954,74.98493564571109,110.00171565112794,448
Brazil_66370000,95.90655177861262,74.96765664005754,118.00079151885534,366
Brazil_66430000,73.28662441188392,56.36577884304094,90.07075456454513,267
Brazil_66450001,98.92295468566928,75.7869723622978,114.34099457936833,278
Brazil_66600000,66.32189595151311,53.141965942558265,85.79677417377047,244
Brazil_66650000,151.926068249572,119.10735964785775,171.45166732160644,234
Brazil_66710000,193.59524828230548,171.42655612451014,216.6122213321318,440
Brazil_66800000,243.0834923131364,191.5417635520232,286.43109983550454,247
Brazil_66810000,243.735030663084,177.24554803366925,374.95766996566596,193
Brazil_66870000,157.83206737464567,135.92335571912412,175.4360491368215,257
Brazil_66895000,250.0261436066893,203.54966767995094,323.7899146857389,421
Brazil_67100000,238.1531010719585,168.71151209417425,262.44819326432815,412
Brazil_70700000,88.32653442949305,47.595481289371406,165.36086566420946,168
Brazil_72300000,498.62612724744,125.12530525567,557.9624280461329,260
Brazil_72980000,79.13651353503025,57.05703400229493,105.33113576640012,209
Brazil_73010000,216.62270688441293,114.67582664246389,377.8874891686909,208
Brazil_73550000,226.72282439839313,176.71654304169306,627.3501627438034,442
Brazil_73600000,54.8727725132743,36.06418476147106,76.91243522878128,159
Brazil_73770000,97.4352246111824,64.27372279411861,115.43174618110574,469
Brazil_73850000,104.6135252011905,84.30926935506301,127.9614528796356,453
Brazil_73960000,91.1435338490026,62.361682109763315,112.76453793213935,438
Brazil_74040080,472.79384008934903,422.6891159774655,626.6027336033242,436
Brazil_74100000,536.4904114880393,507.5439520019339,561.4828018227527,239
Brazil_74270000,70.24664058927604,44.52935288568159,89.10775366109003,229
Brazil_74500000,243.9632770136457,218.78492431330142,273.90235769618494,233
Brazil_75320000,95.40409700677402,53.7420267979145,397.1811162537575,510
Brazil_75550000,455.70573683430223,426.1587130188608,478.79484721337406,280
Brazil_75900000,463.9650113124085,391.0014529221665,542.2709078852852,499
Brazil_76310000,158.47604553023416,45.3691257001559,297.19242157914545,212
Brazil_76500000,323.8164382274085,284.10871765961355,374.5067256462181,467
Brazil_76560000,267.671948409375,115.85271885661209,347.2945595893518,278
Brazil_76800000,244.421776778619,207.57047479870977,280.0167986961085,269
Brazil_77585000,59.65065319210867,39.955992037855076,78.9543577874305,241
Brazil_81350000,79.79164677986267,66.3809708670599,93.04475538281613,89
Brazil_81380000,70.67683169834271,55.87029629258809,91.33344442458804,108
Brazil_81420000,151.891807724172,53.86023575492088,168.91398540948558,89
Brazil_81683000,175.0864553999018,153.12930087972862,206.90037025445025,98
Brazil_83300200,44.91539606992108,30.92038335975605,56.29851772625135,100
Brazil_83461000,89.75271057918067,68.627933715663,119.8797125368484,81
Brazil_83500002,89.63139695666713,64.54442893817544,111.07880441774459,89
Brazil_83520000,124.01027386311635,114.20101180391202,144.55401745188124,95
Brazil_83800002,83.1661819508425,63.05549216292676,101.5721153969553,99
Brazil_83870000,151.5932104022803,128.80978936814398,162.545867646102,102
Brazil_85400000,118.59107408346809,84.51319620398357,148.41169807523696,315
Brazil_85642000,210.825346385073,186.9461190207853,231.61968813937105,188
