COMID,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID_x,date,COMID_y,width_u_r
42037498,42241500050111,42241500051,769425240.123,46.83206862,130.335807,73.94968,0.09127,1091.506527,14.860226,262153,2,0,0.08661678749,707.0,1,1,0,-16436.52539,0.01518,193.15955945,SWOT_L2_HR_RiverSP_Node_015_310_AS_20240519T091103_20240519T091758_PGD0_01.zip,18,jiamusi,42037498,2024-05-19,42037498,0.01361441790077358
42037498,42241500050111,42241500051,767843350.111,46.83250697,130.3360933,74.24339,0.09213,1051.83386,9.744801,12,1,0,0.0665172173,707.0,1,1,0,-49530.28125,0.0197,193.15955945,SWOT_L2_HR_RiverSP_Node_014_381_AS_20240501T014531_20240501T015157_PGD0_01.zip,18,jiamusi,42037498,2024-05-01,42037498,0.009264581955937415
42037498,42241500050111,42241500051,801236607.72,46.83199281,130.3357365,75.63371,0.09141,1135.249096,11.96789,0,0,0,0.0,707.0,1,1,0,41332.91406,0.01599,193.15955945,SWOT_L2_HR_RiverSP_Node_033_103_AS_20250522T134019_20250522T134621_PID0_01.zip,18,jiamusi,42037498,2025-05-22,42037498,0.010542082827608788
42037498,42241500050111,42241500051,803039312.457,46.8320321,130.3357944,75.28707,0.09142,1147.503289,12.01273,0,0,0,0.0,707.0,1,1,0,40932.83203,0.01603,193.15955945,SWOT_L2_HR_RiverSP_Node_034_103_AS_20250612T102523_20250612T103126_PID0_01.zip,18,jiamusi,42037498,2025-06-12,42037498,0.010468580016418585
42037498,42241500050111,42241500051,800292034.176,46.83238063,130.3359868,74.50002,0.09256,1083.964555,10.722216,7,1,0,0.06347412913,707.0,1,1,0,-49589.60547,0.0216,193.15955945,SWOT_L2_HR_RiverSP_Node_032_381_AS_20250511T151655_20250511T152321_PID0_01.zip,18,jiamusi,42037498,2025-05-11,42037498,0.009891666614504751
42037498,42241500050111,42241500051,803676629.312,46.83194979,130.3356784,75.64661,0.09182,1170.10652,18.489912,8,1,0,0.00341804205,707.0,1,1,0,-16348.01367,0.01821,193.15955945,SWOT_L2_HR_RiverSP_Node_034_310_AS_20250619T192732_20250619T193427_PID0_01.zip,18,jiamusi,42037498,2025-06-19,42037498,0.015801904941098868
42037498,42241500050111,42241500051,801873926.203,46.83172803,130.3356158,74.80287,0.09113,1154.917757,19.507272,1,1,0,0.0,707.0,1,1,0,-16932.9375,0.01433,193.15955945,SWOT_L2_HR_RiverSP_Node_033_310_AS_20250529T224229_20250529T224924_PID0_01.zip,18,jiamusi,42037498,2025-05-29,42037498,0.016890615701218283
42037498,42241500050111,42241500051,804842018.676,46.83194442,130.3357466,75.6358,0.0917,1159.286715,12.12233,0,0,0,0.0,707.0,1,1,0,41428.71094,0.01756,193.15955945,SWOT_L2_HR_RiverSP_Node_035_103_AS_20250703T071030_20250703T071632_PID0_01.zip,18,jiamusi,42037498,2025-07-03,42037498,0.010456714325411726
42037498,42241500050111,42241500051,805700152.162,46.83197011,130.3357995,75.78923,0.09211,1157.332469,11.19542,8,1,0,0.0,707.0,1,1,0,-49071.49609,0.01962,193.15955945,SWOT_L2_HR_RiverSP_Node_035_381_AS_20250713T053213_20250713T053839_PID0_01.zip,18,jiamusi,42037498,2025-07-13,42037498,0.009673469206021214
42037498,42241500050111,42241500051,805479336.922,46.83192793,130.3357244,76.10258,0.09093,1181.767914,17.889648,4,1,0,0.00327164463,707.0,1,1,0,-16901.81641,0.01294,193.15955945,SWOT_L2_HR_RiverSP_Node_035_310_AS_20250710T161240_20250710T161935_PID0_02.zip,18,jiamusi,42037498,2025-07-10,42037498,0.015138038347519393
