node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
42242100060581,42242100061,750540070.44,45.98828343,129.5906233,113.90217,0.09418,211.303419,7.477646,0,0,0,0.0,213.0,1,1,0,-28548.8418,0.02776,220.29582668,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,12,changjiangtun,42043227,2023-10-13
42242100060591,42242100061,750540070.471,45.98669762,129.5919639,113.87498,0.09447,239.897859,8.756398,0,0,0,0.0,202.0,1,1,0,-28603.71094,0.02872,185.29699159,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,12,changjiangtun,42043227,2023-10-13
42243100090651,42243100091,750540068.162,45.9649258,128.7525042,101.51178,0.09108,1078.795469,10.752717,8,1,0,0.11211882285,799.0,2,2,0,34834.58984,0.014,201.96998018,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,19,tonghe,42045560,2023-10-13
42243100090661,42243100091,750540068.169,45.96416453,128.7499615,101.53596,0.09099,1066.057203,10.513326,0,0,0,0.07069369227,829.5,2,2,0,35049.00781,0.01341,204.64574375,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,19,tonghe,42045560,2023-10-13
42243200030021,42243200031,750540070.706,45.80745695,128.7224868,109.71309,0.09502,167.772469,6.204086,0,0,0,0.0,127.0,1,1,0,41754.80469,0.03047,200.1879859,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,13,lianhua,42045708,2023-10-13
42243200030031,42243200031,750540070.732,45.8057085,128.7214467,109.88056,0.09632,161.356188,5.598713,8,1,0,0.04578927277,241.5,1,1,0,41894.80078,0.0343,208.83850155,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,13,lianhua,42045708,2023-10-13
42272100020011,42272100021,750539966.127,51.66667319,126.6095866,170.66591,0.09366,764.599582,73.486754,802825,2,0,0.0,129.0,1,1,0,4040.0752,0.02591,134.60206931,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,8,humaqiao,42012937,2023-10-13
43428700020014,43428700024,750287192.455,32.43613092,115.4145727,25.99969,0.15914,183.576317,3.650239,8388613,3,0,0.66381579026,155.5,1,1,0,-56992.03125,0.13125,160.81637904,SWOT_L2_HR_RiverSP_Node_004_534_AS_20231010T210118_20231010T210913_PGD0_01.zip,7,huaibin,43044183,2023-10-10
43428700020024,43428700024,750287192.461,32.43576433,115.4134538,26.9829,0.12024,162.984819,3.232963,8388615,3,0,0.69965345188,80.0,1,1,0,-56853.04297,0.07974,215.83754013,SWOT_L2_HR_RiverSP_Node_004_534_AS_20231010T210118_20231010T210913_PGD0_01.zip,7,huaibin,43044183,2023-10-10
43428700030011,43428700031,750287192.45,32.43587053,115.4119649,30.69529,0.1542,173.458012,4.639501,8388621,3,0,0.54052162244,94.0,1,1,0,-56649.35547,0.12521,154.70692375,SWOT_L2_HR_RiverSP_Node_004_534_AS_20231010T210118_20231010T210913_PGD0_01.zip,7,huaibin,43044183,2023-10-10
43428700010821,43428700011,748484490.378,32.43577292,115.4172198,23.05767,0.11711,174.218259,4.964575,8388608,3,0,0.0,122.0,1,1,0,-57575.10938,0.07493,229.15779104,SWOT_L2_HR_RiverSP_Node_003_534_AS_20230920T001616_20230920T002410_PGD0_01.zip,7,huaibin,43044183,2023-09-20
43428700020014,43428700024,748484490.391,32.43461694,115.415558,22.97467,0.11522,238.25225,7.517791,8388608,3,0,0.00584191112,155.5,1,1,0,-57402.0,0.07194,160.81637904,SWOT_L2_HR_RiverSP_Node_003_534_AS_20230920T001616_20230920T002410_PGD0_01.zip,7,huaibin,43044183,2023-09-20
43428700020024,43428700024,748484490.388,32.4343558,115.4135688,23.9603,0.12174,136.099464,5.001003,8388608,3,0,0.05356679148,80.0,1,1,0,-57200.67188,0.08197,215.83754013,SWOT_L2_HR_RiverSP_Node_003_534_AS_20230920T001616_20230920T002410_PGD0_01.zip,7,huaibin,43044183,2023-09-20
