COMID,q50
81000886,0.0018836416
81000887,0.0069854474
81000888,0.011425735
81000889,0.019398417
81000890,0.00209771
81000891,0.00610483
81000892,0.008629533
81000893,0.010668996
81000894,0.008632523
81000895,0.0026996443
81000896,0.098407075
81000897,0.0045657163
81000898,0.007992429
81000899,0.012881573
81000900,0.017981809
81000901,0.003032534
81000902,0.001994722
81000903,0.008076919
81000904,0.023643645
81000905,0.042887628
81000906,0.013068728
81000907,0.0052069486
81000908,0.007218401
81000909,0.002002212
81000910,0.010068375
81000911,0.0064392346
81000912,0.012033391
81000913,0.005978329
81000914,0.07153341
81000915,0.015584129
81000916,0.0018184308
81000917,0.031662963
81000918,0.008313022
81000919,0.0033077546
81000920,0.0060163615
81000921,0.004589964
81000922,0.010403169
81000923,0.013153072
81000924,0.001965493
81000925,0.025837675
81000926,0.0059379567
81000927,0.0024844548
81000928,0.0043598483
81000929,0.0049029887
81000930,0.016126942
81000931,0.046505876
81000932,0.009138288
81000933,0.006691814
81000934,0.006344715
81000935,0.010461818
81000936,0.03208884
81000937,0.009979733
81000938,0.0051277843
81000939,0.0049190824
81000940,0.011593833
81000941,0.004113007
81000942,0.015682843
81000943,0.004556651
81000944,0.016524503
81000945,0.03887502
81000946,0.0063416976
81000947,0.0018218904
81000948,0.023350582
81000949,0.015344219
81000950,0.0052784695
81000951,0.012662614
81000952,0.0054861396
81000953,0.019529266
81000954,0.020948155
81000955,0.08064575
81000956,0.009330773
81000957,0.015907526
81000958,0.009376528
81000959,0.0011228283
81000960,0.016795361
81000961,0.0034638594
81000962,0.012833778
81000963,0.0073801307
81000964,0.0021885745
81000965,0.0048686676
81000966,0.0066568567
81000967,0.0036068442
81000968,0.016150432
81000969,0.010389744
81000970,0.008925782
81000971,0.019923516
81000972,0.008603442
81000973,0.003455405
81000974,0.004741418
81000975,0.003000547
81000976,0.004806674
81000977,0.001879267
81000978,14.207172
81000979,13.592823
81000980,134.29494
81000981,134.04176
81000982,133.42546
81000983,8.420589
81000984,8.034633
81000985,7.871537
81000986,7.7888126
81000987,7.6519814
81000988,7.4369893
81000989,6.0371203
81000990,3.822252
81000991,3.6785092
81000992,3.5624535
81000993,3.4304893
81000994,3.2602944
81000995,3.109689
81000996,2.9987125
81000997,2.943488
81000998,2.7203507
81000999,2.6897814
81001000,2.4554286
81001001,1.898362
81001002,3.9137614
81001003,0.5912696
81001004,0.49249634
81001005,2.3994637
81001006,0.40069517
81001007,0.38269034
81001008,1.9740496
81001009,1.7061577
81001010,0.34209844
81001011,0.25849724
81001012,0.23029655
81001013,0.14268781
81001014,1.6557546
81001015,0.06841777
81001016,31.156536
81001017,31.012066
81001018,30.768204
81001019,7.496906
81001020,6.267248
81001021,30.362421
81001022,0.0023651107
81001023,8.69503
81001024,1.4057605
81001025,8.308981
81001026,1.1189616
81001027,7.9682736
81001028,1.0591583
81001029,7.385237
81001030,7.294321
81001031,0.89461267
81001032,6.625306
81001033,6.5531535
81001034,0.83565503
81001035,6.2660017
81001036,6.163429
81001037,0.7132894
81001038,0.6298111
81001039,6.031554
81001040,0.58118445
81001041,12.36529
81001042,12.349339
81001043,1.0947773
81001044,12.183531
81001045,11.968577
81001046,1.0320365
81001047,11.943548
81001048,0.95749277
81001049,11.81157
81001050,1.610043
81001051,1.5324183
81001052,1.8803691
81001053,1.4786649
81001054,1.8193368
81001055,10.841522
81001056,1.4406408
81001057,0.7419091
81001058,0.32203656
81001059,1.4030554
81001060,10.432477
81001061,1.2941684
81001062,10.246665
81001063,1.7247744
81001064,0.14747773
81001065,0.28967544
81001066,1.5734878
81001067,1.2183326
81001068,1.1561564
81001069,0.11381794
81001070,10.101899
81001071,1.5234822
81001072,1.1132056
81001073,1.0295054
81001074,1.3945673
81001075,0.061609477
81001076,0.62398136
81001077,0.00065629615
81001078,0.01471257
81001079,0.05920147
81001080,0.031774867
81001081,9.78419
81001082,1.2514505
81001083,1.9388511
81001084,1.8166376
81001085,0.34295157
81001086,0.2393896
81001087,1.6230197
81001088,5.571521
81001089,2.8093326
81001090,0.22887503
81001091,1.4751806
81001092,5.4984355
81001093,0.13704677
81001094,2.1284099
81001095,2.6543999
81001096,2.4722428
81001097,4.427232
81001098,2.4294524
81001099,2.0398035
81001100,3.8229747
81001101,2.425726
81001102,2.0888176
81001103,1.2613504
81001104,0.0913204
81001105,2.152587
81001106,1.1212144
81001107,1.0819412
81001108,1.5606588
81001109,0.43866023
81001110,2.0576952
81001111,1.0102351
81001112,2.6747165
81001113,1.8673395
81001114,0.04082544
81001115,0.0030744742
81001116,0.36874476
81001117,0.2798486
81001118,0.2407286
81001119,0.20757931
81001120,0.31128928
81001121,0.16710064
81001122,0.3485479
81001123,0.20525688
81001124,0.20777076
81001125,0.10979803
81001126,0.12076284
81001127,0.34009764
81001128,0.08759691
81001129,0.27558896
81001130,0.072779834
81001131,0.21332969
81001132,0.13994369
81001133,0.16766009
81001134,0.48030636
81001135,0.14427672
81001136,0.08581804
81001137,0.06543994
81001138,0.35784107
81001139,0.10680884
81001140,0.109283924
81001141,0.31880334
81001142,0.06896553
81001143,0.12198524
81001144,0.034348067
81001145,0.54868954
81001146,0.20835836
81001147,0.16851556
81001148,0.119491436
81001149,0.15732875
81001150,0.081699066
81001151,0.04465378
81001152,0.033712644
81001153,0.03614579
81001154,0.03205119
81001155,0.037163958
81001156,0.05996652
81001157,0.8003094
81001158,0.011459097
81001159,0.01621416
81001160,0.61195123
81001161,0.04426708
81001162,0.025359813
81001163,0.52132726
81001164,0.096876994
81001165,0.063438974
81001166,0.0876677
81001167,0.5363147
81001168,0.33471435
81001169,0.021466317
81001170,0.06524143
81001171,0.13357335
81001172,0.023828218
81001173,0.058694445
81001174,0.035124466
81001175,0.43064645
81001176,0.084904164
81001177,0.019511428
81001178,0.018816317
81001179,0.009852029
81001180,0.04234442
81001181,0.0234991
81001182,0.021045398
81001183,0.21424231
81001184,0.009080012
81001185,0.01038045
81001186,0.031355556
81001187,0.02180008
81001188,0.011437177
81001189,0.04647012
81001190,0.01171445
81001191,0.0053383433
81001192,0.01774778
81001193,0.018031856
81001194,0.06909247
81001195,0.1763955
81001196,0.005848743
81001197,0.007516367
81001198,0.008832096
81001199,0.014277559
81001200,0.004909424
81001201,0.0045243315
81001202,0.008096127
81001203,0.015622945
81001204,0.10018304
81001205,0.007763733
81001206,0.0044387067
81001207,0.0034752532
81001208,0.0047268905
81001209,0.0038347272
81001210,0.01940316
81001211,0.5973687
81001212,0.6614753
81001213,0.30552527
81001214,0.08738924
81001215,0.10319834
81001216,0.026516616
81001217,0.034628604
81001218,0.055942476
81001219,0.22151206
81001220,0.046741612
81001221,0.047300108
81001222,0.038757306
81001223,0.0030872582
81001224,0.25742638
81001225,0.28005302
81001226,0.15977104
81001227,0.18961549
81001228,0.16005704
81001229,0.1413489
81001230,0.18509005
81001231,0.14745264
81001232,0.106778525
81001233,0.13308878
81001234,0.082749896
81001235,0.07927352
81001236,0.12901427
81001237,0.10341981
81001238,0.097203046
81001239,0.06729734
81001240,0.12109441
81001241,0.051344108
81001242,0.03829826
81001243,0.09890621
81001244,0.052410576
81001245,0.048729908
81001246,0.052590586
81001247,0.13679412
81001248,0.07372247
81001249,0.029372958
81001250,0.038464006
81001251,0.074347116
81001252,0.08364665
81001253,0.034592558
81001254,0.02304478
81001255,0.12248988
81001256,0.04117688
81001257,0.23734191
81001258,0.072244525
81001259,0.02909031
81001260,0.10936092
81001261,0.067318045
81001262,0.064524144
81001263,0.020112097
