node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,geometry,index_right,stationid,COMID
41301400100941,41301400101,787240797.992,39.27004745,141.1242916,50.62383,0.09881,201.125713,6.492396,0,0,0,0.03890329224,152.0,2,1,0,33832.85156,0.04079,194.20875822,POINT (141.1242916 39.27004745),803,GRDC_2588704,41003554
41301400130021,41301400131,787240806.429,39.2902901,141.063262,66.69572,0.10433,41.979505,4.110897,0,0,0,0.050422036,110.0,2,1,0,28259.42773,0.05277,215.81021207,POINT (141.063262 39.2902901),805,GRDC_2588708,41003554
41301600060521,41301600061,787240746.291,35.85510509,140.1383131,0.38008,0.09875,199.19563,7.371742,0,0,0,0.0,169.0,1,1,0,32505.07031,0.04063,188.66070968,POINT (140.1383131 35.85510509),791,GRDC_2588551,41005366
41301600060531,41301600061,787240746.294,35.85640954,140.1370766,0.40615,0.09981,195.723229,7.000333,0,0,0,0.01060200542,169.0,1,1,0,32374.82812,0.04315,192.09374519,POINT (140.1370766 35.85640954),791,GRDC_2588551,41005366
41301600240451,41301600241,787240746.84,36.19298362,139.5009584,15.50398,0.09563,178.353126,6.106569,0,0,0,0.05234907704,257.0,2,1,0,-31604.87305,0.03232,217.59271346,POINT (139.5009584 36.19298362),792,GRDC_2588552,41005374
41301600270661,41301600271,787240746.881,36.26042206,139.1988371,41.71081,0.11049,200.590628,5.335292,1,1,0,0.1656448621,218.0,2,1,0,-59735.69531,0.06409,214.09355735,POINT (139.1988371 36.26042206),793,GRDC_2588554,41005378
41301600270671,41301600271,787240746.881,36.26081573,139.1968633,41.85391,0.11737,260.957232,5.61647,1,1,0,0.38863587121,212.5,2,2,0,-59928.21094,0.07533,194.82395836,POINT (139.1968633 36.26081573),793,GRDC_2588554,41005378
23250800040661,23250800041,787223759.689,51.80988736,5.4370572,1.953,0.10184,182.040355,8.394041,0,0,0,0.0,136.0,1,1,0,22279.67578,0.04766,214.68759474,POINT (5.4370572 51.80988736),1294,GRDC_6421100,23007668
23250800040671,23250800041,787223759.691,51.80978322,5.4397955,1.90994,0.09964,197.928542,9.270249,0,0,0,0.0,137.5,1,1,0,22122.7207,0.04276,181.78247167,POINT (5.4397955 51.80978322),1294,GRDC_6421100,23007668
23250800310371,23250800311,787223779.297,50.82607884,5.6988668,44.22629,0.09307,278.247702,6.70103,0,0,0,0.0,135.0,1,1,0,38585.94531,0.02371,211.78235498,POINT (5.6988668 50.82607884),1295,GRDC_6421101,23010658
