COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
82005753,332,82216000030651,66.40028764,-128.2567532,770226736.483,31.08008,0.15688,72.720211,4.197913,Canada_10LD004,66,0.05772690896070144
82005753,80,82216000030651,66.4003564,-128.2580294,770770721.325,30.90964,0.09757,121.939502,7.624712,Canada_10LD004,66,0.06252864637744707
82005753,648,82216000030651,66.40036625,-128.2581918,771628848.475,30.32954,0.09676,157.432463,9.65015,Canada_10LD004,66,0.06129707822712523
82005753,41,82216000030651,66.40030396,-128.2578644,772029441.913,30.32643,0.10333,93.903395,5.41628,Canada_10LD004,66,0.057679277730054386
82005753,758,82216000030651,66.40039251,-128.2580273,772573424.9,30.4168,0.09987,94.893489,6.349668,Canada_10LD004,66,0.06691363197742682
82005753,21,82216000030651,66.40041115,-128.2580179,773431550.683,30.08316,0.09748,134.733148,10.209995,Canada_10LD004,66,0.07577938429821293
82005753,756,82216000030651,66.40028642,-128.258121,774376129.028,29.95618,0.09845,102.437333,5.613567,Canada_10LD004,66,0.05480001124199514
82005753,509,82216000030651,66.4003933,-128.2589791,775234256.704,29.89507,0.10447,69.150812,3.947067,Canada_10LD004,66,0.057079112823722154
82005753,6,82216000030651,66.40011218,-128.2580643,775634849.847,30.01303,0.26163,23.196852,1.78812,Canada_10LD004,66,0.07708459751349019
82005753,211,82216000030651,66.40017635,-128.2593309,750940966.843,29.46846,0.12991,74.546936,1.176623,Canada_10LD004,66,0.015783653401931903
82005753,88,82216000030651,66.40042649,-128.2569586,750854525.96,30.21641,0.22863,66.351395,3.137477,Canada_10LD004,66,0.04728577296679294
82005753,345,82216000030651,66.40018412,-128.2584194,749996388.713,29.8154,0.09915,77.356196,4.814932,Canada_10LD004,66,0.06224365014019045
82008607,5,82218000090251,65.23822191,-128.5631537,743730158.709,290.92566,0.10378,137.832667,4.270767,GRDC_4208120,71,0.030985158257149596
82008607,39,82218000090251,65.23821556,-128.5634296,744044272.664,291.7395,0.09825,137.454729,8.94668,GRDC_4208120,71,0.06508819350987918
82008607,226,82218000090251,65.23821802,-128.5634372,744988850.623,291.76776,0.09824,180.002917,6.326184,GRDC_4208120,71,0.03514489712408383
82008607,13,82218000090251,65.23825434,-128.5634605,746791555.615,291.92458,0.09802,204.754199,6.492477,GRDC_4208120,71,0.03170863909853199
82008607,90,82218000090251,65.23822569,-128.563457,747335570.504,291.93934,0.10327,135.156074,4.316342,GRDC_4208120,71,0.03193598239617407
82008607,132,82218000090251,65.23824344,-128.5634539,747422011.422,292.09896,0.10758,181.427964,5.722209,GRDC_4208120,71,0.031539840242047805
82008607,49,82218000090251,65.23824006,-128.563877,747649684.108,291.87477,0.09797,185.064637,9.069389,GRDC_4208120,71,0.049006601947405
82008607,261,82218000090251,65.23817085,-128.5634404,748594260.857,291.89189,0.09504,199.875504,5.978385,GRDC_4208120,71,0.02991054371525187
82008607,426,82218000090251,65.23819415,-128.5631698,749224714.844,291.89688,0.10408,188.698418,5.595801,GRDC_4208120,71,0.029654731922553794
82008607,309,82218000090251,65.23820946,-128.5640437,751255091.099,291.79431,0.09535,173.935392,11.802623,GRDC_4208120,71,0.06785636243600153
82008607,171,82218000090251,65.23810093,-128.5633833,752199668.583,291.99335,0.0937,167.622714,5.113947,GRDC_4208120,71,0.030508675572452546
82008607,1,82218000090251,65.23825587,-128.5636824,752743683.085,291.85435,0.10757,131.290302,4.123987,GRDC_4208120,71,0.0314112081180223
82008607,424,82218000090251,65.238175,-128.5635893,753057796.275,291.8399,0.09888,162.491183,15.886748,GRDC_4208120,71,0.09776990792171167
82008607,154,82218000090251,65.23807484,-128.5632976,754002373.782,292.22596,0.12104,208.84591,6.213704,GRDC_4208120,71,0.029752576911848547
82008607,179,82218000090251,65.23841732,-128.5634105,754546388.542,292.02582,0.13298,114.937505,3.790264,GRDC_4208120,71,0.03297673809780367
82008607,280,82218000090251,65.23790993,-128.5646533,754632829.39,293.0391,0.14828,157.692707,5.047181,GRDC_4208120,71,0.03200643261200405
82008607,517,82218000090251,65.23842833,-128.5634645,754860501.825,292.03681,0.10161,193.662376,12.28772,GRDC_4208120,71,0.06344918540088551
82008607,537,82218000090251,65.23829463,-128.5633054,755805077.527,292.32579,0.1417,161.034547,7.680078,GRDC_4208120,71,0.04769211416479471
82008607,70,82218000090251,65.23817381,-128.5642201,756349092.207,292.76107,0.13159,140.112618,4.799888,GRDC_4208120,71,0.03425735717820932
82008607,84,82218000090251,65.23831178,-128.5641403,756663206.789,293.17936,0.10313,200.448345,8.586607,GRDC_4208120,71,0.042837006212248854
82008607,291,82218000090251,65.23814048,-128.5630501,757607784.237,292.60196,0.1213,231.832112,10.77695,GRDC_4208120,71,0.04648601053162126
82008607,1,82218000090251,65.23848893,-128.5634138,758151798.043,292.49142,0.13759,113.70786,4.401483,GRDC_4208120,71,0.03870869612707512
82008607,446,82218000090251,65.23837053,-128.5620811,758238238.777,292.08967,0.16521,160.513649,4.177025,GRDC_4208120,71,0.02602286488421929
82008607,435,82218000090251,65.23826733,-128.56319,758465911.166,292.512,0.09807,252.239682,13.517431,GRDC_4208120,71,0.05358962908936747
82008607,73,82218000090251,65.23834277,-128.5632035,759954504.312,292.65155,0.14058,143.189959,4.307149,GRDC_4208120,71,0.030079965313768966
82008607,240,82218000090251,65.23731194,-128.5623348,760040945.127,291.38354,0.37696,123.894412,0.712077,GRDC_4208120,71,0.005747450498413116
82008607,151,82218000090251,65.23818154,-128.5637303,760268617.431,292.71524,0.10291,195.193453,13.448246,GRDC_4208120,71,0.06889701367186736
82008607,86,82218000090251,65.2383354,-128.5624503,761213194.61,292.68743,0.12474,257.225704,8.413444,GRDC_4208120,71,0.03270841082040541
82008607,578,82218000090251,65.23804111,-128.5624359,761757209.37,292.33245,0.20425,105.87188,5.659761,GRDC_4208120,71,0.053458585981471185
82008607,37,82218000090251,65.2376701,-128.5622967,761843650.246,291.83664,0.33445,131.998703,1.416841,GRDC_4208120,71,0.010733749406613487
